ID,Jugador,Equipo,Posicion,Nacionalidad,Edad,Partidos_Jugados,Goles,Asistencias,Minutos_Jugados,Tarjetas_Amarillas,Tarjetas_Rojas,Altura_cm,Peso_kg,Rating_Promedio,Valor_Mercado_Millones_EUR
1,Jugador_001,Tigres SC,Mediocampista,Inglaterra,17,25,1,2.0,1125,2,0,171,76,6.03,5.12
2,Jugador_002,Aguilas FC,Portero,Chile,23,18,0,3.0,846,3,0,180,85,6.28,1.48
3,Jugador_003,Tigres SC,Defensa,Argentina,28,0,1,2.0,0,2,0,179,74,7.01,4.4
4,Jugador_004,Halcones CF,Defensa,Argentina,30,35,4,2.0,2695,3,0,182,74,7.36,4.15
5,Jugador_005,Aguilas FC,Defensa,Italia,35,14,2,3.0,840,3,0,170,75,6.17,2.31
6,Jugador_006,Jaguares SC,Delantero,Brasil,29,0,10,4.0,0,5,0,193,91,6.37,10.39
7,Jugador_007,Leones United,Delantero,Portugal,18,7,34,9.0,385,1,0,182,79,6.54,129.05
8,Jugador_008,Tigres SC,Defensa,Francia,27,33,3,,1782,2,1,174,76,7.62,
9,Jugador_009,Panteras FC,Delantero,Italia,27,25,11,2.0,1875,4,0,190,65,6.39,15.23
10,Jugador_010,Jaguares SC,Delantero,Francia,25,28,9,4.0,1904,3,0,181,71,7.38,8.92
11,Jugador_011,Leones United,Mediocampista,Argentina,23,12,7,6.0,564,3,1,174,67,6.54,11.58
12,Jugador_012,Delfines CF,Defensa,Mexico,30,25,0,0.0,1100,2,0,177,62,6.57,0.3
13,Jugador_013,Condores United,Delantero,Colombia,28,12,11,,756,5,0,183,70,6.46,11.35
14,Jugador_014,Panteras FC,Defensa,Chile,26,15,2,3.0,720,1,0,183,90,6.66,
15,Jugador_015,Lobos FC,Mediocampista,Colombia,40,6,3,2.0,240,3,0,184,84,6.12,3.57
16,Jugador_016,Tigres SC,Mediocampista,Inglaterra,35,24,8,2.0,1704,1,1,182,83,6.7,71.27
17,Jugador_017,Tigres SC,Delantero,Mexico,20,23,6,2.0,1242,3,0,186,73,6.2,4.95
18,Jugador_018,Delfines CF,Defensa,Uruguay,20,36,2,5.0,2160,5,0,179,72,6.73,4.31
19,Jugador_019,Lobos FC,Delantero,Brasil,23,26,14,5.0,2314,2,0,178,64,5.63,17.65
20,Jugador_020,Delfines CF,Mediocampista,Portugal,34,3,1,8.0,195,4,0,179,82,6.37,8.25
21,Jugador_021,Jaguares SC,Defensa,Brasil,21,10,2,2.0,440,4,0,188,74,6.59,4.65
22,Jugador_022,Leones United,Defensa,Mexico,22,2,3,1.0,124,5,0,182,74,6.48,3.13
23,Jugador_023,Lobos FC,Mediocampista,Colombia,40,10,6,2.0,790,3,0,168,81,5.65,9.51
24,Jugador_024,Toros United,Mediocampista,Argentina,39,13,2,2.0,1105,4,0,172,68,6.86,
25,Jugador_025,Leones United,Defensa,Uruguay,33,36,1,4.0,2304,5,0,173,83,5.84,2.92
26,Jugador_026,Tigres SC,Portero,Inglaterra,26,4,0,5.0,332,3,0,180,65,7.99,1.38
27,Jugador_027,Lobos FC,Mediocampista,Uruguay,32,20,1,2.0,1040,3,0,191,65,7.57,0.3
28,Jugador_028,Leones United,Mediocampista,Italia,24,35,4,3.0,3115,3,0,169,83,7.87,9.65
29,Jugador_029,Delfines CF,Delantero,Colombia,17,12,6,2.0,864,0,1,168,78,6.76,8.52
30,Jugador_030,Leones United,Mediocampista,Italia,38,30,3,1.0,2280,2,1,169,77,5.61,2.33
31,Jugador_031,Aguilas FC,Delantero,Francia,40,12,10,4.0,948,1,0,179,62,7.86,11.18
32,Jugador_032,Lobos FC,Delantero,Italia,18,6,10,7.0,486,3,0,175,81,6.9,10.67
33,Jugador_033,Aguilas FC,Defensa,Brasil,30,22,2,2.0,1034,5,1,185,85,7.87,6.01
34,Jugador_034,Aguilas FC,Delantero,Chile,40,14,11,5.0,1232,4,1,167,73,7.53,10.04
35,Jugador_035,Jaguares SC,Mediocampista,Alemania,36,0,2,1.0,0,3,0,182,73,7.0,0.39
36,Jugador_036,Lobos FC,Defensa,Colombia,39,16,0,2.0,848,2,0,175,88,,3.12
37,Jugador_037,Toros United,Delantero,Uruguay,36,15,7,4.0,780,7,0,187,70,6.25,
38,Jugador_038,Tigres SC,Delantero,Argentina,32,37,10,2.0,1665,4,1,180,61,6.65,10.51
39,Jugador_039,Toros United,Defensa,Portugal,29,33,1,3.0,2607,5,0,175,80,6.83,5.76
40,Jugador_040,Panteras FC,Mediocampista,Argentina,30,12,3,5.0,708,3,1,171,70,6.71,6.56
41,Jugador_041,Lobos FC,Portero,Brasil,17,28,0,2.0,1176,3,0,188,81,6.96,3.58
